Indicator,Score,Category,Count,Location
Habitat quality in protected area,0,Ecology,8,I
Habitat quality in protected area,1,Ecology,1,I
Habitat quality in protected area,2,Ecology,3,I
Habitat quality in protected area,3,Ecology,6,I
Habitat quality in protected area,4,Ecology,1,I
Habitat quality in protected area,5,Ecology,4,I
Habitat quality outside protected area,0,Ecology,14,O
Habitat quality outside protected area,1,Ecology,1,O
Habitat quality outside protected area,2,Ecology,1,O
Habitat quality outside protected area,3,Ecology,3,O
Habitat quality outside protected area,4,Ecology,0,O
Habitat quality outside protected area,5,Ecology,4,O
Non-target abundance/biomass in protected area,1,Ecology,0,I
Non-target abundance/biomass in protected area,0,Ecology,4,I
Non-target abundance/biomass in protected area,2,Ecology,2,I
Non-target abundance/biomass in protected area,3,Ecology,5,I
Non-target abundance/biomass in protected area,4,Ecology,2,I
Non-target abundance/biomass in protected area,5,Ecology,10,I
Non-target abundance/biomass outside protected area,0,Ecology,11,O
Non-target abundance/biomass outside protected area,1,Ecology,1,O
Non-target abundance/biomass outside protected area,2,Ecology,1,O
Non-target abundance/biomass outside protected area,3,Ecology,3,O
Non-target abundance/biomass outside protected area,4,Ecology,0,O
Non-target abundance/biomass outside protected area,5,Ecology,7,O
Target abundance/biomass in protected area,0,Ecology,0,I
Target abundance/biomass in protected area,1,Ecology,1,I
Target abundance/biomass in protected area,2,Ecology,1,I
Target abundance/biomass in protected area,3,Ecology,3,I
Target abundance/biomass in protected area,4,Ecology,5,I
Target abundance/biomass in protected area,5,Ecology,13,I
Target abundance/biomass outside protected area,0,Ecology,3,O
Target abundance/biomass outside protected area,1,Ecology,0,O
Target abundance/biomass outside protected area,2,Ecology,2,O
Target abundance/biomass outside protected area,3,Ecology,3,O
Target abundance/biomass outside protected area,4,Ecology,2,O
Target abundance/biomass outside protected area,5,Ecology,13,O